,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,track,artist,msPlayed,datetime
0,0.74,0.299,0,-11.831,1,0.0347,0.77,0.138,0.234,0.303,105.0,audio_features,0E9vvI2kGtr8TUW2kJmGX4,spotify:track:0E9vvI2kGtr8TUW2kJmGX4,https://api.spotify.com/v1/tracks/0E9vvI2kGtr8TUW2kJmGX4,https://api.spotify.com/v1/audio-analysis/0E9vvI2kGtr8TUW2kJmGX4,287413,4,Courage,Jasper van't Hofs Pili Pili,1962,2023-12-05 21:40:00
0,0.501,0.488,0,-9.131,1,0.029,0.324,0.00113,0.165,0.729,117.573,audio_features,2xNruEPnV3JHJ9qvHvcEF3,spotify:track:2xNruEPnV3JHJ9qvHvcEF3,https://api.spotify.com/v1/tracks/2xNruEPnV3JHJ9qvHvcEF3,https://api.spotify.com/v1/audio-analysis/2xNruEPnV3JHJ9qvHvcEF3,184560,4,I Looked Away,Derek & The Dominos,1069,2023-12-06 06:06:00
0,0.674,0.706,9,-9.012,1,0.0384,0.108,6.48e-06,0.114,0.961,133.789,audio_features,042v1NacbKJzCyi6nBme7T,spotify:track:042v1NacbKJzCyi6nBme7T,https://api.spotify.com/v1/tracks/042v1NacbKJzCyi6nBme7T,https://api.spotify.com/v1/audio-analysis/042v1NacbKJzCyi6nBme7T,172400,4,Mr. Soul,Buffalo Springfield,4545,2023-12-06 06:06:00
0,0.558,0.744,4,-7.791,0,0.037,0.569,0.000148,0.24,0.54,128.949,audio_features,7vCAPGfk46iIyikreugUay,spotify:track:7vCAPGfk46iIyikreugUay,https://api.spotify.com/v1/tracks/7vCAPGfk46iIyikreugUay,https://api.spotify.com/v1/audio-analysis/7vCAPGfk46iIyikreugUay,186507,4,Coming into Los Angeles - Remastered,Arlo Guthrie,1528,2023-12-06 06:06:00
0,0.37,0.918,9,-10.685,1,0.187,0.0134,0.0434,0.607,0.362,152.785,audio_features,6xxR2WCzYgE9ri0PXX5pV3,spotify:track:6xxR2WCzYgE9ri0PXX5pV3,https://api.spotify.com/v1/tracks/6xxR2WCzYgE9ri0PXX5pV3,https://api.spotify.com/v1/audio-analysis/6xxR2WCzYgE9ri0PXX5pV3,347360,4,Combination of the Two,Big Brother & The Holding Company,1652,2023-12-06 06:06:00
0,0.535,0.596,9,-12.033,1,0.0313,0.115,0.0183,0.0932,0.757,109.319,audio_features,6MeSDfZgtjw7k9QgdLxbNI,spotify:track:6MeSDfZgtjw7k9QgdLxbNI,https://api.spotify.com/v1/tracks/6MeSDfZgtjw7k9QgdLxbNI,https://api.spotify.com/v1/audio-analysis/6MeSDfZgtjw7k9QgdLxbNI,288093,4,Light Up Or Leave Me Alone,Traffic,1525,2023-12-06 06:06:00
0,0.596,0.575,4,-14.254,0,0.04,0.449,0.000104,0.0839,0.745,107.573,audio_features,08xsXR637CEqbxJmpFcuSA,spotify:track:08xsXR637CEqbxJmpFcuSA,https://api.spotify.com/v1/tracks/08xsXR637CEqbxJmpFcuSA,https://api.spotify.com/v1/audio-analysis/08xsXR637CEqbxJmpFcuSA,164707,4,Badge,Cream,164706,2023-12-06 06:09:00
0,0.66,0.259,6,-17.615,1,0.0495,0.695,0.85,0.101,0.794,116.194,audio_features,6rmEV2YtvWkigxPZocINO3,spotify:track:6rmEV2YtvWkigxPZocINO3,https://api.spotify.com/v1/tracks/6rmEV2YtvWkigxPZocINO3,https://api.spotify.com/v1/audio-analysis/6rmEV2YtvWkigxPZocINO3,125667,4,Black Mountain Side - 1993 Remaster,Led Zeppelin,125666,2023-12-06 06:11:00
0,0.347,0.679,9,-11.91,1,0.0466,0.00171,0.00477,0.158,0.275,122.269,audio_features,4EPtqZQeTpMTAzFey8wCIa,spotify:track:4EPtqZQeTpMTAzFey8wCIa,https://api.spotify.com/v1/tracks/4EPtqZQeTpMTAzFey8wCIa,https://api.spotify.com/v1/audio-analysis/4EPtqZQeTpMTAzFey8wCIa,284893,4,2000 Light Years From Home - Stereo / Remastered,The Rolling Stones,284893,2023-12-06 06:16:00
0,0.305,0.622,2,-8.908,1,0.03,0.00349,0.0129,0.0992,0.274,102.521,audio_features,6Dyg43VP3iKxWQhF2b160J,spotify:track:6Dyg43VP3iKxWQhF2b160J,https://api.spotify.com/v1/tracks/6Dyg43VP3iKxWQhF2b160J,https://api.spotify.com/v1/audio-analysis/6Dyg43VP3iKxWQhF2b160J,189653,4,Child Of The Moon,The Rolling Stones,189653,2023-12-06 06:19:00
